IP,Timestamp,HTTP_Method,Request_Path,HTTP_Status,Response_Size,Referer,User_Agent,Server_IP
access.log:10.90.175.27,09/Aug/2023:23:44:25 +0800,POST,/gmp/mm/supplychainmanager/backInfos/delete,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:25 +0800,POST,/gmp/mm/supplychainmanager/backInfos/queryVOList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:26 +0800,POST,/gmp/mm/supplychainmanager/backReason/getProvinceCode,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:26 +0800,POST,/gmp/mm/supplychainmanager/backReason/insertList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:27 +0800,POST,/gmp/mm/supplychainmanager/bpms/trackService/querySendLocalAllTrackData,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:28 +0800,POST,/gmp/mm/supplychainmanager/bureauCodeDict/getProvinceCode,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:28 +0800,POST,/gmp/mm/supplychainmanager/bureauCodeDict/getBureauCode,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:28 +0800,POST,/gmp/mm/supplychainmanager/bureauCodeDict/load,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:28 +0800,POST,/gmp/mm/supplychainmanager/bureauCodeDict/queryVOList,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
access.log:10.90.175.27,09/Aug/2023:23:44:28 +0800,POST,/gmp/mm/supplychainmanager/bureauCodeDict/queryVOListByPage,302,0,https://www.bidding.csg.cn:9090/gmp/static/mm/expert/externalExpertManage/expertRegister/RegisterInfoEdit.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",14.150.34.230
