id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
367,1,1,1,http://ali-www.vipkid.com.cn,ali-www.vipkid.com.cn,1,iknvhzjus8saukr00kds5x0k0f9vv7lq.aliyundunwaf.com,59.110.246.206,1,1,80,200,OK,VIPKID官网-北美外教老师_在线青少儿英语_幼儿启蒙英语|儿童英语口语学习培训,,59.110.128.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国北京北京市,阿里云,BaiduSearch
469,0,0,1,http://ansible.vipkid.com.cn,ansible.vipkid.com.cn,1,ansible.vipkid.com.cn,10.19.52.169,0,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='ansible.vipkid.com.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001C10D27A580>, 'Connection to ansible.vipkid.com.cn timed out. (connect timeout=13)'))""),)",,,10.0.0.0/8,AS-,-,内网IP,内网IP,Brute
470,0,0,1,https://ansible.vipkid.com.cn,ansible.vipkid.com.cn,1,ansible.vipkid.com.cn,10.19.52.169,0,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='ansible.vipkid.com.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001C10D2721C0>, 'Connection to ansible.vipkid.com.cn timed out. (connect timeout=13)'))""),)",,,10.0.0.0/8,AS-,-,内网IP,内网IP,Brute
92,1,1,1,http://api-student-classroom.vipkid.com.cn,api-student-classroom.vipkid.com.cn,1,"api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com","47.246.20.233,47.246.20.227,47.246.20.229,47.246.20.228,47.246.20.234,47.246.20.231,47.246.20.230,47.246.20.232","1,1,1,1,1,1,1,1",1,80,404,,Whitelabel Error Page,"Tengine,cache14.l2nu16[10,0], cache18.cn682[77,0]","47.246.20.0/24,47.246.20.0/24,47.246.20.0/24,47.246.20.0/24,47.246.20.0/24,47.246.20.0/24,47.246.20.0/24,47.246.20.0/24","AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429","ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD","美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉","阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴",CrtshQuery
99,1,1,1,https://api-student-classroom.vipkid.com.cn,api-student-classroom.vipkid.com.cn,1,"api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com,api-student-classroom.vipkid.com.cn.w.kunlungr.com","47.246.20.233,47.246.20.227,47.246.20.229,47.246.20.228,47.246.20.234,47.246.20.231,47.246.20.230,47.246.20.232","1,1,1,1,1,1,1,1",1,443,404,,Whitelabel Error Page,"Tengine,cache1.l2nu16[11,0], cache20.cn682[86,0]","47.246.20.0/24,47.246.20.0/24,47.246.20.0/24,47.246.20.0/24,47.246.20.0/24,47.246.20.0/24,47.246.20.0/24,47.246.20.0/24","AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429","ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD","美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉","阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴",CrtshQuery
212,1,1,1,http://api.management.vipkid.com.cn,api.management.vipkid.com.cn,2,ali-public-noncore-nowaf.vipkid.com.cn,39.105.225.55,1,0,80,404,Not Found,404 Not Found,,39.104.0.0/15,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国北京北京市,阿里云,AlienVaultQuery
218,1,1,1,https://api.management.vipkid.com.cn,api.management.vipkid.com.cn,2,ali-public-noncore-nowaf.vipkid.com.cn,39.105.225.55,1,0,443,404,Not Found,404 Not Found,,39.104.0.0/15,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国北京北京市,阿里云,AlienVaultQuery
120,1,1,1,http://api.vipkid.com.cn,api.vipkid.com.cn,1,"api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com","47.246.4.227,47.246.4.225,47.246.4.231,47.246.4.228,47.246.4.232,47.246.4.226,47.246.4.229,47.246.4.230","1,1,1,1,1,1,1,1",1,80,404,,'',"Tengine,cache64.l2cn2600[85,0], vcache26.cn2560[92,0]","47.246.4.0/24,47.246.4.0/24,47.246.4.0/24,47.246.4.0/24,47.246.4.0/24,47.246.4.0/24,47.246.4.0/24,47.246.4.0/24","AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429","ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD","美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉","阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴",IP138Query
128,1,1,1,https://api.vipkid.com.cn,api.vipkid.com.cn,1,"api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com,api.vipkid.com.cn.w.cdngslb.com","47.246.4.227,47.246.4.225,47.246.4.231,47.246.4.228,47.246.4.232,47.246.4.226,47.246.4.229,47.246.4.230","1,1,1,1,1,1,1,1",1,443,404,,'',"Tengine,cache26.l2cn2600[200,0], vcache6.cn2560[207,0]","47.246.4.0/24,47.246.4.0/24,47.246.4.0/24,47.246.4.0/24,47.246.4.0/24,47.246.4.0/24,47.246.4.0/24,47.246.4.0/24","AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429,AS24429","ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD,ALISOFT Aliyun Computing Co. LTD","美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉,美国加利福尼亚圣克拉拉","阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴,阿里巴巴",IP138Query
325,1,1,1,http://app-proxy.vipkid.com.cn,app-proxy.vipkid.com.cn,1,ali-public-core-waf.vipkid.com.cn,39.97.5.223,1,1,80,200,OK,暂停服务,,39.97.0.0/17,AS37963,Hangzhou Alibaba Advertising Co. Ltd.,中国北京北京市,阿里云,AlienVaultQuery
